Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Contact,Chrome 109.0.0.0,,,2023-06-09 18:17:13,2023-06-09 18:19:19,2m - 6.042s,ERROR
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 18:17:15,2023-06-09 18:17:42,27.412s,PASSED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 18:17:15,2023-06-09 18:17:15,0.135s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 18:17:15,2023-06-09 18:17:21,6.290s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 18:17:21,2023-06-09 18:17:21,0.056s,PASSED
"assert getWindowTitle() == ""Cogmento CRM""",Chrome 109.0.0.0,,,2023-06-09 18:17:21,2023-06-09 18:17:21,0.041s,PASSED
"com.CreateContact.enterbasicdetails(FirstName, LastName, MiddleName, Email)",Chrome 109.0.0.0,,,2023-06-09 18:17:21,2023-06-09 18:17:34,12.213s,PASSED
"com.CreateContact.setDND(Call, Text, DoEmail)",Chrome 109.0.0.0,,,2023-06-09 18:17:34,2023-06-09 18:17:35,1.021s,PASSED
"com.CreateContact.setBirthDate(BirthDay, BirthMonth, BirthYear)",Chrome 109.0.0.0,,,2023-06-09 18:17:35,2023-06-09 18:17:38,3.002s,PASSED
com.CreateContact.submitForm(),Chrome 109.0.0.0,,,2023-06-09 18:17:38,2023-06-09 18:17:38,0.538s,PASSED
try,Chrome 109.0.0.0,,,2023-06-09 18:17:38,2023-06-09 18:17:42,4.071s,PASSED
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-09 18:17:42,2023-06-09 18:17:42,0.016s,PASSED
Start listener action : assertmessage,Chrome 109.0.0.0,,,2023-06-09 18:17:42,2023-06-09 18:17:42,0.001s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 18:18:07,2023-06-09 18:18:18,10.876s,FAILED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 18:18:07,2023-06-09 18:18:07,0.024s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 18:18:07,2023-06-09 18:18:18,10.788s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 18:18:18,2023-06-09 18:18:18,0.031s,FAILED
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-09 18:18:18,2023-06-09 18:18:18,0.007s,PASSED
Start listener action : assertmessage,Chrome 109.0.0.0,,,2023-06-09 18:18:18,2023-06-09 18:18:18,0.001s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 18:18:49,2023-06-09 18:18:59,9.824s,FAILED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 18:18:49,2023-06-09 18:18:49,0.019s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 18:18:49,2023-06-09 18:18:59,9.773s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 18:18:59,2023-06-09 18:18:59,0.008s,FAILED
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-09 18:18:59,2023-06-09 18:18:59,0.005s,PASSED
Start listener action : assertmessage,Chrome 109.0.0.0,,,2023-06-09 18:18:59,2023-06-09 18:18:59,0.002s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 18:19:19,2023-06-09 18:19:19,0.062s,ERROR
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 18:19:19,2023-06-09 18:19:19,0.022s,ERROR
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 18:19:19,2023-06-09 18:19:19,0.020s,ERROR
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-09 18:19:19,2023-06-09 18:19:19,0.003s,PASSED
Start listener action : assertmessage,Chrome 109.0.0.0,,,2023-06-09 18:19:19,2023-06-09 18:19:19,0.001s,PASSED
